test_id,node,test_category,test_description,test,result,failure_reason
1,leaf1,Hardware,Verifies if the power supplies status are within the accepted states list.,VerifyEnvironmentPower,NOT RUN,
2,leaf1,Hardware,Verifies if the fans status are within the accepted states list.,VerifyEnvironmentCooling,NOT RUN,
3,leaf1,Hardware,Verifies if the device temperature is within the acceptable range.,VerifyTemperature,NOT RUN,
4,leaf1,Hardware,Verifies the transceiver's manufacturer against a list of approved manufacturers.,VerifyTransceiversManufacturers,NOT RUN,
5,leaf1,NTP,Synchronised with NTP server,NTP,NOT RUN,
6,leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_leaf2_Ethernet1,NOT RUN,
7,leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_SPINE1_Ethernet2,NOT RUN,
8,leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE2_Ethernet2,NOT RUN,
9,leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - host1_Eth1,NOT RUN,
10,leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - host1_Eth2,NOT RUN,
11,leaf1,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - MLAG_PEER_leaf2_Po1,NOT RUN,
12,leaf1,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel4 - host1_PortChanne1,NOT RUN,
13,leaf1,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,NOT RUN,
14,leaf1,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,NOT RUN,
15,leaf1,Interface State,Vlan Interface & Line Protocol == "up",Vlan110 - Tenant_A_OP_Zone_1,NOT RUN,
16,leaf1,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf Tenant_A_OP_Zone,NOT RUN,
17,leaf1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,NOT RUN,
18,leaf1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,NOT RUN,
19,leaf1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback100 - Tenant_A_OP_Zone_VTEP_DIAGNOSTICS,NOT RUN,
20,leaf1,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,NOT RUN,
21,leaf1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: leaf2_Ethernet1,NOT RUN,
22,leaf1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: spine1_Ethernet2,NOT RUN,
23,leaf1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: spine2_Ethernet2,NOT RUN,
24,leaf1,IP Reachability,ip reachability test p2p links,Source: leaf1_Ethernet2 - Destination: spine1_Ethernet2,NOT RUN,
25,leaf1,IP Reachability,ip reachability test p2p links,Source: leaf1_Ethernet3 - Destination: spine2_Ethernet2,NOT RUN,
26,leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf1 - 192.0.255.3/32 Destination: 192.0.255.1,NOT RUN,
27,leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf1 - 192.0.255.3/32 Destination: 192.0.255.2,NOT RUN,
28,leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf1 - 192.0.255.3/32 Destination: 192.0.255.3,NOT RUN,
29,leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf1 - 192.0.255.3/32 Destination: 192.0.255.4,NOT RUN,
30,leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf1 - 192.0.255.3/32 Destination: 192.0.255.5,NOT RUN,
31,leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf1 - 192.0.255.3/32 Destination: 192.0.255.6,NOT RUN,
32,leaf1,MLAG,MLAG State active & Status connected,MLAG,NOT RUN,
33,leaf1,BGP,ArBGP is configured and operating,ArBGP,NOT RUN,
34,leaf1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.251.1,NOT RUN,
35,leaf1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.31.255.0,NOT RUN,
36,leaf1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.31.255.2,NOT RUN,
37,leaf1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.0.255.1,NOT RUN,
38,leaf1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.0.255.2,NOT RUN,
39,leaf1,Routing Table,Remote Lo0 address,192.0.255.1,NOT RUN,
40,leaf1,Routing Table,Remote Lo0 address,192.0.255.2,NOT RUN,
41,leaf1,Routing Table,Remote Lo0 address,192.0.255.3,NOT RUN,
42,leaf1,Routing Table,Remote Lo0 address,192.0.255.4,NOT RUN,
43,leaf1,Routing Table,Remote Lo0 address,192.0.255.5,NOT RUN,
44,leaf1,Routing Table,Remote Lo0 address,192.0.255.6,NOT RUN,
45,leaf1,Routing Table,Remote VTEP address,192.0.254.3,NOT RUN,
46,leaf1,Routing Table,Remote VTEP address,192.0.254.5,NOT RUN,
47,leaf2,Hardware,Verifies if the power supplies status are within the accepted states list.,VerifyEnvironmentPower,NOT RUN,
48,leaf2,Hardware,Verifies if the fans status are within the accepted states list.,VerifyEnvironmentCooling,NOT RUN,
49,leaf2,Hardware,Verifies if the device temperature is within the acceptable range.,VerifyTemperature,NOT RUN,
50,leaf2,Hardware,Verifies the transceiver's manufacturer against a list of approved manufacturers.,VerifyTransceiversManufacturers,NOT RUN,
51,leaf2,NTP,Synchronised with NTP server,NTP,NOT RUN,
52,leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_leaf1_Ethernet1,NOT RUN,
53,leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_SPINE1_Ethernet3,NOT RUN,
54,leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE2_Ethernet3,NOT RUN,
55,leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - host1_Eth3,NOT RUN,
56,leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - host1_Eth4,NOT RUN,
57,leaf2,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - MLAG_PEER_leaf1_Po1,NOT RUN,
58,leaf2,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel4 - host1_PortChanne1,NOT RUN,
59,leaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,NOT RUN,
60,leaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,NOT RUN,
61,leaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan110 - Tenant_A_OP_Zone_1,NOT RUN,
62,leaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf Tenant_A_OP_Zone,NOT RUN,
63,leaf2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,NOT RUN,
64,leaf2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,NOT RUN,
65,leaf2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback100 - Tenant_A_OP_Zone_VTEP_DIAGNOSTICS,NOT RUN,
66,leaf2,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,NOT RUN,
67,leaf2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: leaf1_Ethernet1,NOT RUN,
68,leaf2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: spine1_Ethernet3,NOT RUN,
69,leaf2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: spine2_Ethernet3,NOT RUN,
70,leaf2,IP Reachability,ip reachability test p2p links,Source: leaf2_Ethernet2 - Destination: spine1_Ethernet3,NOT RUN,
71,leaf2,IP Reachability,ip reachability test p2p links,Source: leaf2_Ethernet3 - Destination: spine2_Ethernet3,NOT RUN,
72,leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: leaf2 - 192.0.255.4/32 Destination: 192.0.255.1,NOT RUN,
73,leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: leaf2 - 192.0.255.4/32 Destination: 192.0.255.2,NOT RUN,
74,leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: leaf2 - 192.0.255.4/32 Destination: 192.0.255.3,NOT RUN,
75,leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: leaf2 - 192.0.255.4/32 Destination: 192.0.255.4,NOT RUN,
76,leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: leaf2 - 192.0.255.4/32 Destination: 192.0.255.5,NOT RUN,
77,leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: leaf2 - 192.0.255.4/32 Destination: 192.0.255.6,NOT RUN,
78,leaf2,MLAG,MLAG State active & Status connected,MLAG,NOT RUN,
79,leaf2,BGP,ArBGP is configured and operating,ArBGP,NOT RUN,
80,leaf2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.251.0,NOT RUN,
81,leaf2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.31.255.4,NOT RUN,
82,leaf2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.31.255.6,NOT RUN,
83,leaf2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.0.255.1,NOT RUN,
84,leaf2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.0.255.2,NOT RUN,
85,leaf2,Routing Table,Remote Lo0 address,192.0.255.1,NOT RUN,
86,leaf2,Routing Table,Remote Lo0 address,192.0.255.2,NOT RUN,
87,leaf2,Routing Table,Remote Lo0 address,192.0.255.3,NOT RUN,
88,leaf2,Routing Table,Remote Lo0 address,192.0.255.4,NOT RUN,
89,leaf2,Routing Table,Remote Lo0 address,192.0.255.5,NOT RUN,
90,leaf2,Routing Table,Remote Lo0 address,192.0.255.6,NOT RUN,
91,leaf2,Routing Table,Remote VTEP address,192.0.254.3,NOT RUN,
92,leaf2,Routing Table,Remote VTEP address,192.0.254.5,NOT RUN,
93,leaf3,Hardware,Verifies if the power supplies status are within the accepted states list.,VerifyEnvironmentPower,NOT RUN,
94,leaf3,Hardware,Verifies if the fans status are within the accepted states list.,VerifyEnvironmentCooling,NOT RUN,
95,leaf3,Hardware,Verifies if the device temperature is within the acceptable range.,VerifyTemperature,NOT RUN,
96,leaf3,Hardware,Verifies the transceiver's manufacturer against a list of approved manufacturers.,VerifyTransceiversManufacturers,NOT RUN,
97,leaf3,NTP,Synchronised with NTP server,NTP,NOT RUN,
98,leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_leaf4_Ethernet1,NOT RUN,
99,leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_SPINE1_Ethernet4,NOT RUN,
100,leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE2_Ethernet4,NOT RUN,
101,leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - host2_Eth1,NOT RUN,
102,leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - host2_Eth2,NOT RUN,
103,leaf3,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - MLAG_PEER_leaf4_Po1,NOT RUN,
104,leaf3,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel4 - host2_PortChanne1,NOT RUN,
105,leaf3,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,NOT RUN,
106,leaf3,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,NOT RUN,
107,leaf3,Interface State,Vlan Interface & Line Protocol == "up",Vlan110 - Tenant_A_OP_Zone_1,NOT RUN,
108,leaf3,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf Tenant_A_OP_Zone,NOT RUN,
109,leaf3,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,NOT RUN,
110,leaf3,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,NOT RUN,
111,leaf3,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback100 - Tenant_A_OP_Zone_VTEP_DIAGNOSTICS,NOT RUN,
112,leaf3,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,NOT RUN,
113,leaf3,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: leaf4_Ethernet1,NOT RUN,
114,leaf3,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: spine1_Ethernet4,NOT RUN,
115,leaf3,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: spine2_Ethernet4,NOT RUN,
116,leaf3,IP Reachability,ip reachability test p2p links,Source: leaf3_Ethernet2 - Destination: spine1_Ethernet4,NOT RUN,
117,leaf3,IP Reachability,ip reachability test p2p links,Source: leaf3_Ethernet3 - Destination: spine2_Ethernet4,NOT RUN,
118,leaf3,Loopback0 Reachability,Loopback0 Reachability,Source: leaf3 - 192.0.255.5/32 Destination: 192.0.255.1,NOT RUN,
119,leaf3,Loopback0 Reachability,Loopback0 Reachability,Source: leaf3 - 192.0.255.5/32 Destination: 192.0.255.2,NOT RUN,
120,leaf3,Loopback0 Reachability,Loopback0 Reachability,Source: leaf3 - 192.0.255.5/32 Destination: 192.0.255.3,NOT RUN,
121,leaf3,Loopback0 Reachability,Loopback0 Reachability,Source: leaf3 - 192.0.255.5/32 Destination: 192.0.255.4,NOT RUN,
122,leaf3,Loopback0 Reachability,Loopback0 Reachability,Source: leaf3 - 192.0.255.5/32 Destination: 192.0.255.5,NOT RUN,
123,leaf3,Loopback0 Reachability,Loopback0 Reachability,Source: leaf3 - 192.0.255.5/32 Destination: 192.0.255.6,NOT RUN,
124,leaf3,MLAG,MLAG State active & Status connected,MLAG,NOT RUN,
125,leaf3,BGP,ArBGP is configured and operating,ArBGP,NOT RUN,
126,leaf3,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.251.5,NOT RUN,
127,leaf3,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.31.255.8,NOT RUN,
128,leaf3,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.31.255.10,NOT RUN,
129,leaf3,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.0.255.1,NOT RUN,
130,leaf3,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.0.255.2,NOT RUN,
131,leaf3,Routing Table,Remote Lo0 address,192.0.255.1,NOT RUN,
132,leaf3,Routing Table,Remote Lo0 address,192.0.255.2,NOT RUN,
133,leaf3,Routing Table,Remote Lo0 address,192.0.255.3,NOT RUN,
134,leaf3,Routing Table,Remote Lo0 address,192.0.255.4,NOT RUN,
135,leaf3,Routing Table,Remote Lo0 address,192.0.255.5,NOT RUN,
136,leaf3,Routing Table,Remote Lo0 address,192.0.255.6,NOT RUN,
137,leaf3,Routing Table,Remote VTEP address,192.0.254.3,NOT RUN,
138,leaf3,Routing Table,Remote VTEP address,192.0.254.5,NOT RUN,
139,leaf4,Hardware,Verifies if the power supplies status are within the accepted states list.,VerifyEnvironmentPower,NOT RUN,
140,leaf4,Hardware,Verifies if the fans status are within the accepted states list.,VerifyEnvironmentCooling,NOT RUN,
141,leaf4,Hardware,Verifies if the device temperature is within the acceptable range.,VerifyTemperature,NOT RUN,
142,leaf4,Hardware,Verifies the transceiver's manufacturer against a list of approved manufacturers.,VerifyTransceiversManufacturers,NOT RUN,
143,leaf4,NTP,Synchronised with NTP server,NTP,NOT RUN,
144,leaf4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_leaf3_Ethernet1,NOT RUN,
145,leaf4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_SPINE1_Ethernet5,NOT RUN,
146,leaf4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE2_Ethernet5,NOT RUN,
147,leaf4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - host2_Eth3,NOT RUN,
148,leaf4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - host2_Eth4,NOT RUN,
149,leaf4,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - MLAG_PEER_leaf3_Po1,NOT RUN,
150,leaf4,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel4 - host2_PortChanne1,NOT RUN,
151,leaf4,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,NOT RUN,
152,leaf4,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,NOT RUN,
153,leaf4,Interface State,Vlan Interface & Line Protocol == "up",Vlan110 - Tenant_A_OP_Zone_1,NOT RUN,
154,leaf4,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf Tenant_A_OP_Zone,NOT RUN,
155,leaf4,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,NOT RUN,
156,leaf4,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,NOT RUN,
157,leaf4,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback100 - Tenant_A_OP_Zone_VTEP_DIAGNOSTICS,NOT RUN,
158,leaf4,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,NOT RUN,
159,leaf4,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: leaf3_Ethernet1,NOT RUN,
160,leaf4,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: spine1_Ethernet5,NOT RUN,
161,leaf4,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: spine2_Ethernet5,NOT RUN,
162,leaf4,IP Reachability,ip reachability test p2p links,Source: leaf4_Ethernet2 - Destination: spine1_Ethernet5,NOT RUN,
163,leaf4,IP Reachability,ip reachability test p2p links,Source: leaf4_Ethernet3 - Destination: spine2_Ethernet5,NOT RUN,
164,leaf4,Loopback0 Reachability,Loopback0 Reachability,Source: leaf4 - 192.0.255.6/32 Destination: 192.0.255.1,NOT RUN,
165,leaf4,Loopback0 Reachability,Loopback0 Reachability,Source: leaf4 - 192.0.255.6/32 Destination: 192.0.255.2,NOT RUN,
166,leaf4,Loopback0 Reachability,Loopback0 Reachability,Source: leaf4 - 192.0.255.6/32 Destination: 192.0.255.3,NOT RUN,
167,leaf4,Loopback0 Reachability,Loopback0 Reachability,Source: leaf4 - 192.0.255.6/32 Destination: 192.0.255.4,NOT RUN,
168,leaf4,Loopback0 Reachability,Loopback0 Reachability,Source: leaf4 - 192.0.255.6/32 Destination: 192.0.255.5,NOT RUN,
169,leaf4,Loopback0 Reachability,Loopback0 Reachability,Source: leaf4 - 192.0.255.6/32 Destination: 192.0.255.6,NOT RUN,
170,leaf4,MLAG,MLAG State active & Status connected,MLAG,NOT RUN,
171,leaf4,BGP,ArBGP is configured and operating,ArBGP,NOT RUN,
172,leaf4,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.251.4,NOT RUN,
173,leaf4,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.31.255.12,NOT RUN,
174,leaf4,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.31.255.14,NOT RUN,
175,leaf4,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.0.255.1,NOT RUN,
176,leaf4,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.0.255.2,NOT RUN,
177,leaf4,Routing Table,Remote Lo0 address,192.0.255.1,NOT RUN,
178,leaf4,Routing Table,Remote Lo0 address,192.0.255.2,NOT RUN,
179,leaf4,Routing Table,Remote Lo0 address,192.0.255.3,NOT RUN,
180,leaf4,Routing Table,Remote Lo0 address,192.0.255.4,NOT RUN,
181,leaf4,Routing Table,Remote Lo0 address,192.0.255.5,NOT RUN,
182,leaf4,Routing Table,Remote Lo0 address,192.0.255.6,NOT RUN,
183,leaf4,Routing Table,Remote VTEP address,192.0.254.3,NOT RUN,
184,leaf4,Routing Table,Remote VTEP address,192.0.254.5,NOT RUN,
185,spine1,Hardware,Verifies if the power supplies status are within the accepted states list.,VerifyEnvironmentPower,NOT RUN,
186,spine1,Hardware,Verifies if the fans status are within the accepted states list.,VerifyEnvironmentCooling,NOT RUN,
187,spine1,Hardware,Verifies if the device temperature is within the acceptable range.,VerifyTemperature,NOT RUN,
188,spine1,Hardware,Verifies the transceiver's manufacturer against a list of approved manufacturers.,VerifyTransceiversManufacturers,NOT RUN,
189,spine1,NTP,Synchronised with NTP server,NTP,NOT RUN,
190,spine1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_LEAF1_Ethernet2,NOT RUN,
191,spine1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_LEAF2_Ethernet2,NOT RUN,
192,spine1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_LEAF3_Ethernet2,NOT RUN,
193,spine1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_LEAF4_Ethernet2,NOT RUN,
194,spine1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,NOT RUN,
195,spine1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: leaf1_Ethernet2,NOT RUN,
196,spine1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: leaf2_Ethernet2,NOT RUN,
197,spine1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: leaf3_Ethernet2,NOT RUN,
198,spine1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: leaf4_Ethernet2,NOT RUN,
199,spine1,IP Reachability,ip reachability test p2p links,Source: spine1_Ethernet2 - Destination: leaf1_Ethernet2,NOT RUN,
200,spine1,IP Reachability,ip reachability test p2p links,Source: spine1_Ethernet3 - Destination: leaf2_Ethernet2,NOT RUN,
201,spine1,IP Reachability,ip reachability test p2p links,Source: spine1_Ethernet4 - Destination: leaf3_Ethernet2,NOT RUN,
202,spine1,IP Reachability,ip reachability test p2p links,Source: spine1_Ethernet5 - Destination: leaf4_Ethernet2,NOT RUN,
203,spine1,BGP,ArBGP is configured and operating,ArBGP,NOT RUN,
204,spine1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.31.255.1,NOT RUN,
205,spine1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.31.255.5,NOT RUN,
206,spine1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.31.255.9,NOT RUN,
207,spine1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.31.255.13,NOT RUN,
208,spine1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.0.255.3,NOT RUN,
209,spine1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.0.255.4,NOT RUN,
210,spine1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.0.255.5,NOT RUN,
211,spine1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.0.255.6,NOT RUN,
212,spine2,Hardware,Verifies if the power supplies status are within the accepted states list.,VerifyEnvironmentPower,NOT RUN,
213,spine2,Hardware,Verifies if the fans status are within the accepted states list.,VerifyEnvironmentCooling,NOT RUN,
214,spine2,Hardware,Verifies if the device temperature is within the acceptable range.,VerifyTemperature,NOT RUN,
215,spine2,Hardware,Verifies the transceiver's manufacturer against a list of approved manufacturers.,VerifyTransceiversManufacturers,NOT RUN,
216,spine2,NTP,Synchronised with NTP server,NTP,NOT RUN,
217,spine2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_LEAF1_Ethernet3,NOT RUN,
218,spine2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_LEAF2_Ethernet3,NOT RUN,
219,spine2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_LEAF3_Ethernet3,NOT RUN,
220,spine2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_LEAF4_Ethernet3,NOT RUN,
221,spine2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,NOT RUN,
222,spine2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: leaf1_Ethernet3,NOT RUN,
223,spine2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: leaf2_Ethernet3,NOT RUN,
224,spine2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: leaf3_Ethernet3,NOT RUN,
225,spine2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: leaf4_Ethernet3,NOT RUN,
226,spine2,IP Reachability,ip reachability test p2p links,Source: spine2_Ethernet2 - Destination: leaf1_Ethernet3,NOT RUN,
227,spine2,IP Reachability,ip reachability test p2p links,Source: spine2_Ethernet3 - Destination: leaf2_Ethernet3,NOT RUN,
228,spine2,IP Reachability,ip reachability test p2p links,Source: spine2_Ethernet4 - Destination: leaf3_Ethernet3,NOT RUN,
229,spine2,IP Reachability,ip reachability test p2p links,Source: spine2_Ethernet5 - Destination: leaf4_Ethernet3,NOT RUN,
230,spine2,BGP,ArBGP is configured and operating,ArBGP,NOT RUN,
231,spine2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.31.255.3,NOT RUN,
232,spine2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.31.255.7,NOT RUN,
233,spine2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.31.255.11,NOT RUN,
234,spine2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.31.255.15,NOT RUN,
235,spine2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.0.255.3,NOT RUN,
236,spine2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.0.255.4,NOT RUN,
237,spine2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.0.255.5,NOT RUN,
238,spine2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.0.255.6,NOT RUN,
